date;home_team;away_team;home_score;away_score;round;
28/04/2019;284;277;1;2;1;
27/04/2019;282;314;2;1;1;
28/04/2019;354;341;4;0;1;
28/04/2019;275;356;4;0;1;
27/04/2019;276;263;2;0;1;
27/04/2019;262;283;3;1;1;
28/04/2019;266;290;0;1;1;
27/04/2019;315;285;2;0;1;
28/04/2019;265;264;3;2;1;
28/04/2019;293;267;4;1;1;
01/05/2019;285;262;2;1;2;
01/05/2019;283;354;1;0;2;
01/05/2019;356;293;2;1;2;
01/05/2019;264;315;1;0;2;
02/05/2019;277;266;2;1;2;
01/05/2019;267;282;1;2;2;
02/05/2019;263;265;3;2;2;
01/05/2019;314;284;1;1;2;
01/05/2019;290;276;1;2;2;
01/05/2019;341;275;1;1;2;
05/05/2019;284;266;4;5;3;
05/05/2019;283;290;2;1;3;
04/05/2019;354;282;1;2;3;
04/05/2019;275;285;1;0;3;
05/05/2019;276;262;1;1;3;
04/05/2019;267;264;1;1;3;
05/05/2019;263;356;1;0;3;
05/05/2019;315;293;1;1;3;
05/05/2019;265;314;1;0;3;
05/05/2019;341;277;0;0;3;
12/05/2019;285;283;3;1;4;
12/05/2019;282;275;0;2;4;
12/05/2019;356;276;0;1;4;
11/05/2019;264;284;0;0;4;
12/05/2019;277;267;3;0;4;
12/05/2019;262;315;2;1;4;
11/05/2019;266;263;0;1;4;
12/05/2019;314;341;0;0;4;
11/05/2019;290;354;2;1;4;
12/05/2019;293;265;1;0;4;
19/05/2019;285;341;2;0;5;
18/05/2019;282;262;2;1;5;
19/05/2019;354;284;2;1;5;
18/05/2019;275;277;4;0;5;
19/05/2019;276;265;0;0;5;
19/05/2019;267;314;1;1;5;
18/05/2019;266;283;4;1;5;
19/05/2019;315;356;1;3;5;
19/05/2019;290;263;1;0;5;
19/05/2019;293;264;0;2;5;
25/05/2019;284;282;1;0;6;
26/05/2019;283;315;1;2;6;
26/05/2019;356;267;1;1;6;
26/05/2019;264;276;1;0;6;
26/05/2019;277;285;0;0;6;
26/05/2019;262;293;3;2;6;
25/05/2019;263;275;0;1;6;
27/05/2019;314;354;1;2;6;
26/05/2019;265;266;3;2;6;
27/05/2019;341;290;1;0;6;
02/06/2019;285;314;2;0;7;
02/06/2019;282;341;4;0;7;
02/06/2019;354;277;0;1;7;
07/08/2019;264;290;2;0;7;
02/06/2019;276;283;1;1;7;
01/06/2019;262;356;2;0;7;
02/06/2019;263;267;1;0;7;
02/06/2019;315;275;1;2;7;
01/06/2019;265;284;1;0;7;
02/06/2019;293;266;3;0;7;
08/06/2019;284;356;1;0;8;
